life	Aaa
recent	BcD
recently	BaD
ward	Bba
forward	abaA
far	bBb
further	bbbA
beyond	bbbC
under	abca
over	bbcc
within	aBcd
across	abcA
around	bbcb
outside	abcB
along	bbcC
into	abcb
through	bbcd
off	bbca
down	bbdc
up	bbc
out	bbd
back	abdd
away	bbdA
behind	abcC
almost	bbAa
nearly	bbAc
than	bbA
compared	bbaC
first	bbB
second	bbBc
third	bbBd
every	abBa
each	bbBa
single	bbbB
separate	abbB
half	abbC
double	abBc
total	abBd
complete	bbbD
entire	bbaD
started	bbCa
began	abCb
start	abcc
begin	bbCd
late	bbcA
early	bdcB
mid	abCc
middle	abCd
due	bbDa
despite	bbCb
since	abdc
until	bbDc
during	bbdb
following	bbDd
after	abdb
before	bbdd
again	abDa
once	abdA
when	bbda
then	abda
final	abdB
lead	bbDb
ultimate	bbcB
eventually	abDb
long	abbc
short	bbCc
soon	abDd
immediate	abAd
drive	bcac
car	bcaa
vehicle	acaC
gun	bCba
weapon	Bcb
fight	Accb
battle	bccc
against	bcca
defense	bccC
defend	bcaB
bla	bcda
fire	bcdc
burn	bCcb
hit	bccA
shot	bcdB
strike	bcbC
attack	accD
target	acdD
ped	bcA
lip	bcAa
fall	bcaC
drop	acaB
cut	acBa
put	bcba
set	bcBb
run	acBc
running	acAc
draw	acBb
throw	bdBd
walk	acAb
turn	bdAc
pull	bcAd
go	bcbd
move	bcBd
push	acAd
head	bcBa
front	bcbA
ide	bcbb
line	bcab
right	bcbc
stand	acbD
standing	bcbD
win	bcCa
lost	bcAc
won	bcCd
attend	acAa
hold	accC
held	accB
visit	bcDa
travel	bcDc
trip	acDd
keep	bcdA
stay	acbB
arrive	acdC
remain	bdbC
return	bcDd
left	acDb
leave	bcDb
wo	Bda
did	bdba
does	Bdb
'll	bdcb
'd	bdcA
may	addb
might	bdbc
would	adda
could	bdca
will	bdc
can	bdd
cannot	bdaC
should	bdcd
must	adaD
've	bdA
have	bda
has	ada
had	bdad
become	bdBa
became	bdBc
went	bdbA
saw	bdBb
are	bdb
were	bdac
was	bD
is	bd
's	bcb
taken	bdCa
took	bdaA
take	bdcc
taking	bdaD
bring	bdDa
brought	bdDb
came	bdDc
come	bddd
coming	bdDd
make	bdda
made	bddb
making	bdbB
got	bdcC
get	bddc
getting	bddC
give	bdbD
giving	bdCd
being	bdD
having	bddD
league	bAa
champion	bAc
coach	bAA
players	bAca
player	bAC
football	bAD
team	bAaa
club	bAB
draft	bBa
round	bBc
quarter	bBd
top	bBA
spot	aBA
straight	bBB
pick	bBba
finish	bBac
match	bBC
game	bbC
play	bBcc
goal	bBD
score	aBD
few	bCb
couple	bCc
two	bCa
three	bcB
five	bCB
eight	bCC
four	bCd
six	bCda
seven	bCD
hours	bDa
minutes	bDb
years	bDc
decade	ADc
days	bDaa
months	bDd
morning	bDA
day	bdB
night	bDB
year	bdC
week	bDca
month	bDC
season	aDD
summer	bDD
advertisement	AA
block	cbac
digital	cbaA
network	abaC
platform	cbaD
content	cBb
online	cbbA
internet	cbbC
net	Cbc
fo	cbda
bro	cbdc
radio	cbcA
media	cbdC
stream	cbdD
channel	abdD
below	cbA
above	cbB
click	cbC
page	cbDa
site	abDc
website	cbDd
update	abCa
please	cbD
wr	Cca
arch	Ccb
article	ccca
piece	cccA
paper	cccC
book	cccD
writing	ccaD
editor	ccda
writer	cccc
publish	ccdA
journal	cddC
story	ccA
stories	ccB
news	ccC
times	ccD
daily	CcD
image	cDb
picture	Cdc
photo	cdda
photograph	Cdd
room	cdA
foot	cdB
video	cdbA
scene	cdbC
episode	cdCa
film	cdcA
movie	cdAc
feature	cdDa
version	cdDc
series	cddA
title	cdD
ounce	cAa
release	cAc
released	CAc
announced	cAd
join	aAda
launch	aAdc
according	cAA
report	cAaa
reported	cAac
found	cAba
discover	aAbc
confirm	cAB
mention	cAbc
suggest	cAbd
show	cAb
reveal	aAbd
spoke	cAC
claim	cAda
saying	aAcb
argue	cAdc
say	cAcd
believe	cAdd
wrote	cAca
added	cAdb
said	cA
says	aAdb
told	cAcc
asked	aAdd
comment	cBa
question	cBaa
answer	cBab
response	cBac
respond	cBad
share	cBbb
account	aBbd
contact	cBba
follow	cBbc
reach	cBbd
twitter	cBcb
facebook	cBc
email	cBd
post	aBca
tweet	aBdb
statement	cBcc
message	aBdd
letter	cBdb
debate	cBA
conversation	aBab
talk	aBac
discuss	aBad
meeting	aBba
conference	aBbc
interview	aBbb
brief	cBB
leader	cBC
members	cBca
member	aBC
friend	cBda
partner	cBdc
relationship	cBcd
contract	aBda
deal	aBdc
agree	cBdd
attorney	cCa
lawyer	cCb
justice	cCc
appeal	cCda
court	cCdb
judge	cCd
circu	cCA
file	cCC
plain	cCD
ification	cDa
ified	cDc
ify	cDd
ific	cDA
intelligence	cDB
investigation	cDC
ig	cdaA
invest	cdC
independent	cDda
conduct	cDdc
review	cDbd
analysis	cDad
evidence	cDD
data	cDcc
document	adcD
information	cDdd
detail	cDcd
public	ccaa
private	dAaa
secret	bBab
personal	cAab
direct	dAab
collect	bAab
ue	aAac
sal	dAad
property	cAad
business	aAad
local	bAad
fra	daaA
clo	baaA
ud	baab
ure	aaab
bank	cbaC
credit	daaC
gi	caaC
card	baaD
sign	dAba
box	dBbb
deliver	aAbb
check	bAba
roll	bAac
print	bAbc
full	dAbc
cover	dAac
ap	dabc
age	dbbc
ag	aabc
own	dcbd
lock	bAbb
em	dabd
hunt	bBbd
lay	ccbd
count	cAbb
hop	bAbd
store	aAab
ship	babd
event	bBbb
host	dAbb
part	aabd
place	cabd
location	dAbd
air	daba
space	dabA
craft	babA
ball	dabB
field	aabB
base	babB
low	babb
light	dabb
deep	bcbB
ground	cabB
attention	babC
crowd	dabD
audience	aaaC
wide	aabD
range	caaB
ous	daca
hundred	dAcc
individual	aacA
other	dccb
these	dacb
those	aacb
multiple	cacC
various	dacC
some	abcd
many	bccd
several	bbcD
#	dAca
*	dAcb
+	dAdb
&	bAcb
;	cbdb
)	dab
(	cbd
]	dbcc
[	caac
QUOTE	aa
'	dcd
</s>	bAcc
:	dcc
mr	dAdd
he	cad
she	bcdd
known	dacA
describe	cacA
as	dcb
well	aada
such	dada
possible	aadA
potential	badA
ard	aaba
been	caba
seen	cadA
between	dcdb
among	aadB
including	dadB
include	dacB
ies	dadb
er	bad
ers	aad
by	dbd
from	caa
at	dad
while	dddb
instead	bacB
with	bac
to	ba
for	dc
on	db
of	cd
in	dd
and	cc
.	b
,	d
s	c
the	a
es	baa
ed	da
ing	cb
record	dbdB
track	badB
ly	dac
case	cadb
number	dbdb
result	cadB
add	cadc
extra	aabC
trans	dacc
inter	dadc
multi	aacC
sub	baba
per	babc
non	dabC
-	ca
old	aadc
critic	cddD
call	ccdd
called	dadD
support	cadd
demand	cadD
word	aaaD
name	dadd
list	aadC
cast	caaD
speak	ccdD
voice	cabC
im	aac
com	ccd
op	cbdd
ex	ccc
pro	bcd
iff	dbbD
whi	badD
pur	aadD
connect	aaAa
link	daAb
related	aaAb
source	aaAc
associate	baAd
occur	baAa
fer	caaA
refer	dbaD
ral	caBa
rate	cabc
ration	ccAd
spread	cabA
positive	aaaB
cor	ccbb
vi	cab
ru	aabb
gene	dbBc
cell	caBc
anti	baBd
mun	aaBd
ate	baca
ated	bacb
ating	cacb
ation	dbc
ations	aacc
ative	dacd
ator	daad
pon	caCa
press	bacA
pos	daaa
port	aaca
mis	aaCa
los	daAa
tro	baaa
tin	caaa
plo	daaB
pan	dbcb
ten	ddcb
clu	caCb
tru	aacB
cra	ddAb
cru	daCb
cle	baaB
tain	cccb
serv	cbCb
ment	cacc
ments	bacC
opera	bacD
vision	aaAd
communication	daAd
mp	caad
ven	bbad
cu	ccad
cep	baaC
mit	cccd
mission	dacD
ction	dcC
tor	ddcd
ctor	aAcc
ally	caC
ting	dbcd
ted	dbC
ition	bccb
ite	cacd
tion	bcC
sion	dcad
ive	bcc
ion	bacd
ial	daA
ent	cac
ence	daC
ant	aacd
ance	dccd
lic	caA
lie	bAcd
ci	aaC
ise	caCd
cy	baA
ry	baC
ries	aacD
ious	cacD
red	aaad
ring	baad
app	bada
comp	cada
rep	daCa
imp	baBa
coll	bAdb
rap	dbDb
gu	aadb
dec	baCb
conf	daBb
aff	cAcb
opinion	baDc
express	caAc
represent	dAdc
view	aaCc
reflect	daAc
speech	caDc
freedom	aaBc
status	caAd
condition	aaDd
position	dbDd
situation	daBd
new	badd
future	caBd
current	dcDd
terms	aaDb
value	daCc
standard	caDd
main	baAc
primary	aaCd
su	aadd
enter	daDa
ob	dbBd
con	dA
pre	dcdd
fin	dbdd
ign	caBb
repeat	baDd
recommend	dbCb
accept	daDd
limit	caAb
consider	baCd
given	daDc
present	dAcd
cip	baDa
vers	daBa
equ	caAa
qu	caDa
ident	aaBa
spec	cbcb
duc	baBb
ect	cacB
behavior	caDb
effect	aabA
object	bddB
subject	aaCb
ness	abAb
dis	dcbb
self	baAb
vol	cabb
act	badb
active	daDb
engage	baDb
ual	ccdb
physical	cbDb
emotion	dccB
cri	caCc
script	baBc
ful	bacc
fully	daBc
use	cbcc
used	bbac
using	dbDc
search	badC
test	aaaA
task	dadA
control	dadC
power	badc
hand	daac
pain	aaDc
ill	dbda
fil	baCa
ture	caB
tur	daB
cul	cadC
ty	dcB
gri	aaDa
cre	dcD
spir	daaD
pl	daD
fl	bAdd
st	bA
dr	baB
prop	daCd
cap	babD
produce	aaBb
production	baCc
str	bcD
dic	baD
gen	aaB
cal	dAd
br	cabD
ac	caD
iv	dbD
large	bBaa
small	bbaA
major	dBba
significant	dBac
biggest	abbA
big	dbbC
great	dbbd
huge	cbbD
strong	dbca
strength	dBca
progress	dBab
success	dBcb
successful	bBcb
attract	dBcc
predict	dBad
expect	bBcd
likely	dBcd
depend	dbcA
based	cbcB
focus	ddaB
influence	dbaC
impact	cbcC
affect	dbcC
difference	dbcD
change	cdcb
shift	abcD
respect	dBda
trust	bBda
fair	bBdb
equal	dBdb
perfect	dBdc
clear	dbdc
obvious	aBcc
certain	bBbc
absolute	bBdc
wrong	bBdd
correct	dBdd
specific	dbdA
basic	cbdA
same	cddb
unique	cddB
different	bbaB
similar	bbdB
key	dbdC
interest	abdC
important	bbdC
common	abbD
popular	cdaD
ization	dbA
ized	ddB
ize	dbB
izing	abAc
scale	dbCa
complex	cdCb
exist	dbAc
process	cbCd
form	cbcd
itself	dbCd
structure	dbAd
function	cbCa
method	dbcB
solution	dbCc
model	bdcD
approach	bbAd
strategy	cbcD
role	abAa
character	cdAb
style	cbBb
class	cbBc
contain	cbBd
material	cbAd
element	cdDd
example	dbAa
instance	dbDa
reason	cbdB
purpose	cbbB
type	cbAc
kind	cbDc
sort	cbCc
sense	bbdD
real	bbD
idea	dbdD
concept	abaD
increase	dcaa
reduce	ccab
improve	dcac
achieve	bcad
raise	ccaA
ulate	cdaC
damage	dcba
recover	ccac
cause	dCbd
suffer	bCbb
prevent	bcaA
without	ccbA
avoid	dcbA
stop	ccbB
remove	dcbB
ware	dcbC
address	ccbD
fix	bcaD
ible	dcca
ibility	dCc
doubt	dcda
concern	Dcdb
fear	cCcb
pressure	ccbc
serious	cCcd
threat	bCdd
risk	dCcd
crisis	dcdA
issue	dccc
problem	dcdC
struggle	cdbD
face	dcbD
challenge	bcdD
policy	dcAa
policies	ccAa
law	dcab
rule	dcAb
decision	ccAc
argument	dcAc
step	ddAd
action	ccAb
measure	dcAd
leg	dcaA
pass	ccaB
bill	dcaB
ip	ccaC
reg	dcA
labor	dcaD
security	ccBa
safety	ccBb
protect	dcBc
safe	ccBd
clean	ddBd
population	dcBa
citizens	dcBb
border	dcaC
immigration	dcBd
option	dcCa
choice	bcAb
choose	ccCb
free	bcCc
available	dcCc
access	ccCd
service	acCb
resources	dcCd
request	ccCa
grant	accA
serve	bcCb
receive	bccB
provide	cccB
offer	dcCb
expand	ccCc
extend	dccC
implement	dccD
create	bccD
introduce	acCd
advantage	dcDa
chance	ccBc
opportunity	acBd
continue	ccDa
hope	dccA
promise	acCa
determine	acdB
prepare	dcdB
schedule	ccDb
plan	bcdb
decided	ccdB
want	ccdc
need	dcbc
order	bcdC
help	dcdc
allow	ccDc
trying	ccbC
try	ccdC
effort	dcDc
attempt	bcBc
able	ddc
ability	dcDb
ensure	dcdD
require	dddD
necessary	ccDd
environment	ddac
climate	ddaA
wild	cdbc
earth	ddbA
natural	ddbC
human	ddbD
animal	ddaD
water	cdca
food	ddcA
drink	ddaC
oil	ddda
energy	bddA
electric	dddC
disease	ddA
treat	cdBa
patient	ddBc
medical	ddBa
hospital	cdBc
fast	ddCa
speed	bdAb
level	ddCc
high	cdcd
lower	cdAd
skill	ddAa
experience	cdAa
knowledge	bdAa
professional	adcB
train	ddCb
practice	cdcB
quality	ddcC
performance	cdcD
perform	cdCd
ee	ddDa
job	ddDc
employ	cdDb
workers	cdBd
student	dddA
school	dddB
college	ddDb
care	cdCc
health	ddD
education	ddCd
tax	dAa
income	dAc
spend	dAA
budget	dAB
profit	dAC
money	dAda
fund	dAD
pay	dAb
cost	bAdc
benefit	cAD
million	dBa
billion	dBb
$	dBc
dollar	dBd
%	dBA
percent	dBB
average	dBC
earn	cBD
annual	dBD
maker	dCa
companies	cCba
company	bCbc
firm	bCbd
market	dCba
industry	dCb
product	bCca
brand	dCcc
custom	cCca
consumer	bCcc
price	dCd
buy	dCda
purchase	cCcc
economic	bCA
economy	dCA
financial	dCB
investment	cCB
ency	dCC
bitcoin	dCD
cur	dCdb
trade	cCdc
exchange	bCdb
engine	dDa
design	dDba
develop	cDab
project	bDbc
development	dDbd
technology	bDba
advance	bDac
struct	dDc
build	dDd
building	cDaa
built	dDdc
google	dDA
smart	dDB
phone	cDba
device	dDb
auto	ddC
graphic	dDC
code	dDda
software	cDdb
application	bdCb
client	cDcb
system	cdcc
program	bDdc
machine	dDdd
computer	dDbc
load	dDD
window	dDcc
install	bDcd
0	Aa
1	aba
2	abb
3	abc
4	abd
9	Ab
5	adc
8	Abc
6	abD
7	Abd
16	Acb
17	Acd
22	AcA
28	AcC
26	AcD
27	AcB
10	Ada
30	Adc
15	Adda
25	Add
20	AdA
11	AdC
100	AAa
50	AaA
40	AAc
00	AB
000	AbA
500	ABc
60	AC
90	ACa
80	ACc
70	ACd
19	BD
200	AD
sunday	BA
saturday	BB
tuesday	Bca
wednesday	BcA
thursday	BcC
friday	Bdc
monday	BdA
september	BAb
august	BAa
march	BBa
november	BbA
october	BBb
january	BBc
december	bBca
february	BbC
april	AbD
june	BbD
2020	BCb
2021	BC
2019	BDa
2017	BDc
2018	BDd
2016	ADa
2012	BdC
2015	BdD
2014	ADd
2013	BdB
>	CA
<	DB
=	DC
{	Cda
}	CdA
www	DA
/	cB
http	CB
|	CC
_	cD
@	CD
ner	Dcaa
ning	Caaa
hel	Ccaa
pic	Daaa
uff	Daab
super	Baab
ish	caab
gold	Aaab
sea	Dcab
fla	Baaa
gre	Acab
ze	Cbab
med	Caab
ge	daab
bel	Adab
ug	Ccab
ep	Bcaa
emb	Bcab
ng	aaac
ang	Caac
mb	Ccac
bb	Dcac
ok	Aaac
und	Baac
od	Daac
ster	Acad
ney	Dcad
mic	Acac
pat	Aaad
tle	Cbad
dy	Ccad
die	Baad
mil	Aaaa
van	Ddab
nn	Dbab
ath	Bcac
ak	baac
bre	Dbac
est	Daa
grow	Bcad
row	Bbad
augh	Bbac
open	Caad
close	Daad
igh	Caa
ough	Abac
les	Baba
ler	Ccbc
led	Cabd
ling	Babd
ub	Aaba
amp	Babc
ack	Aabd
tch	Caca
ck	cbca
gg	Dbca
pp	Bbcb
ft	Dacb
nch	Cacc
zz	Abcd
pe	caca
pi	Daca
po	aaaa
pu	Baca
dia	Aacb
wi	Cacb
ki	Bacb
sc	Dbcc
sh	Cac
sho	Aacc
qua	Bacd
qui	Cacd
sp	Dacd
stone	Cada
wood	Aadb
star	Dabb
rock	Acdb
wall	Dabc
bull	Acdd
uck	Bcdd
rick	Aadd
ff	Aada
hol	Cadb
ran	Ccd
ron	Bbcc
lin	Aadc
mark	Bbdc
bra	Cadc
bar	Badc
char	Caba
ir	Dac
cha	Dbdc
ll	Dcd
man	Dab
pa	Cab
hen	Dacc
ell	Dad
el	Bc
ny	Bacc
ky	Dada
om	Cbdc
rob	Dadc
ie	Cabc
co	dca
ho	Bcd
bo	Bab
lo	Bad
ken	Badd
ke	Dcb
king	Dadb
ker	Dabd
ver	Cad
hor	Cadd
cla	Ccdd
lor	Dadd
language	CaA
english	DaA
lar	DaB
text	CaB
cho	Daba
cross	Babb
white	Aaca
black	DaC
green	CaC
color	Cccc
blue	Aacd
lea	DaD
col	Dcdc
gue	Cabb
body	Bada
heart	Badb
blood	Aabb
eye	Aabc
dark	CaD
<unk>	Cba
é	Cbb
ham	Bbc
ah	Dbc
shi	Bbda
chi	Abdc
za	Abdd
ka	Bbcd
ko	Cbcd
han	Cbda
q	Dbcb
z	cdc
da	Cbdb
j	Bbdb
k	ddd
h	Cbd
ta	Dbd
ja	Bbd
jo	Dbcd
nic	Abaa
que	dbAb
te	abab
ch	dbab
ach	cbAb
mass	bbAb
ian	dbac
ia	abac
ot	Abad
io	Dbad
bur	Cbaa
gar	cbaB
land	cbab
den	dbaB
ana	Cbac
ju	cbad
mar	dbad
mu	Bbaa
sta	Cdba
gra	Abab
har	Dbbb
ic	ddbb
du	cdBb
di	cdab
de	Db
un	Dd
ti	bbbb
ni	dbBb
tic	bbab
mo	adab
bi	ddab
sha	Cbbb
ha	cdbb
hi	Abbb
le	dba
li	cbb
wa	Bbab
ga	dbbb
ba	abbb
ma	cbc
ra	cdd
ne	bdab
la	adbb
na	bdbb
lu	Cdbb
hu	Bdbb
fa	cbbb
sa	bbBb
tu	bbbc
tan	Dbbc
au	Bbbd
fi	Abbc
vin	Abbd
ce	cbba
th	dD
ste	cbAa
et	bbba
os	Dbba
en	Da
se	Cc
n	dda
al	dB
an	bab
ar	cda
re	C
or	cdb
ro	bba
y	D
e	Ad
o	Ac
ri	bbb
u	Bd
r	dbb
l	Dc
x	dbba
d	bb
c	B
p	bB
b	cba
f	Cb
w	daa
g	Cd
t	ab
m	Ba
ine	dbaa
id	cbaa
me	ddb
us	Ca
rest	dbbA
ur	abba
ban	Bbba
va	cdaa
vo	cbBa
ad	ddaa
ol	bbaa
ice	Cbba
am	abaa
mon	Abba
fe	dbBa
ter	cdba
ca	ddba
che	dbaA
val	Dbaa
min	bdaa
ber	adba
gan	abaB
don	dbbB
lan	ddBb
ab	Dbb
il	Bb
ul	Bbb
mi	Abb
par	abBb
mor	cdbB
tal	Bbbb
mou	Cbbc
sur	cbbc
vor	Bbbc
pri	CbB
fu	BbB
nder	Dbbd
der	Cbbd
ding	CbA
ving	DbB
ve	bbbd
v	abad
ary	AbB
tri	Dba
tra	cdbd
bu	abbd
um	cbbd
ump	DbA
ut	Abca
poli	Cbcc
pra	Bbca
emp	CbC
log	Abdb
hy	Abcc
ph	Cbcb
para	Bbdd
ger	Dbda
dan	Abda
mer	Dbdb
nu	Abcb
chan	Cbca
ev	Dbdd
rk	Cbdd
san	Dca
county	Dcc
district	Bcc
york	Ccda
washington	Bcdb
ville	Ccca
california	Acdc
texas	Dcdd
florida	Dccd
north	DcA
south	CcA
east	Ccba
west	CcB
central	DcB
western	BcB
resident	Dcca
neighbor	Bccb
area	Dccc
region	Bccc
city	Cccd
town	Bccd
park	Bcca
near	Cccb
street	Accc
way	Ccc
road	Dccb
cent	Bcda
center	DcC
camp	DcD
bri	Bcdc
london	Accd
secretary	Dda
minister	Cdb
prime	Ddb
former	Ddca
senior	Ddcb
executive	Ddcc
director	Adcd
chief	Bdcd
general	Cdca
special	Bdab
manager	Adcc
management	Bdac
vis	Ddcd
board	ddcD
staff	Bdad
committee	Bdca
council	Bddc
commission	Dddd
department	Cdda
office	addB
agency	Cdcb
federal	Addc
state	dddc
government	cddc
official	Bdd
author	Ddd
prior	Cddd
caption	DdA
ton	ddca
ley	bdCc
mc	DdC
kin	Cdcc
son	Ddc
brown	Adad
william	Bdcb
smith	ddcB
scott	Ddda
robert	Adbc
john	ddDd
james	Adbd
david	Dddc
michael	adDb
george	AdD
je	ddcc
chris	DdD
trump	CAa
donald	DAb
obama	BAc
president	DAd
administration	CAd
sanders	DAa
clinton	DAc
hillary	BAd
house	CBa
congress	CAb
senate	ABb
senator	DBc
democratic	BBd
republican	DBd
democrat	CBd
poll	DBa
vote	CBb
voters	DBb
parliament	DbC
party	dBaa
conservative	CBc
election	DbD
elect	CbD
campaign	dBbc
candidate	bBad
race	dBbd
hood	DCa
live	dCaa
living	dCab
home	dCac
family	CCa
families	dCad
born	Acba
generation	Bcbc
female	Ccbb
who	dC
young	Acbd
people	ccba
women	Dcbb
men	Acbb
kid	Acbc
girl	dCbc
adult	cCbd
children	DCb
child	Ccbd
birth	DCc
grand	BCd
brother	DCd
mother	Ccdc
father	dCdc
daughter	bCcd
wife	dCdd
husband	dCcb
person	bCaa
woman	cCab
witness	cCac
victim	bCad
suspect	cCad
police	cCaa
officer	bCab
incident	bCac
shooting	BCa
alleged	Dcba
accused	dCbb
charge	Dcbc
arrest	Bcbd
sent	Bcba
prison	cCbb
dead	cCbc
death	Bcbb
kill	Dcbd
murder	CCb
violence	dCca
abuse	CcC
sex	BCc
assault	CCc
drug	Dcda
traffic	CCd
crime	Acda
criminal	Ccdb
legal	bCdc
illegal	cCdd
syria	DDa
iraq	CDa
command	Bdaa
arm	dDac
military	Ddbc
force	Bdbd
operation	bDad
peace	DDb
civil	Cdbc
israel	CDb
war	bdbd
conflict	BDb
nuclear	CDc
korea	Adca
china	bDcb
chinese	dDcb
foreign	Bdcc
russia	Cdcd
russian	Cdad
united	Bdda
states	Bddb
countries	bDdb
africa	bDcc
world	cddd
country	dddd
nation	bDbd
australia	bDdd
canada	Bddd
america	Addd
europe	Cddc
german	Adba
french	cDca
indian	aDbb
british	Addb
american	Adcb
canadian	Cddb
uk	Bdbc
eu	CDd
european	DDd
protest	Ddaa
movement	Cdac
activist	cDac
community	dDad
group	ddad
organization	Ddad
national	Cdaa
international	bDab
global	cdaB
union	ddAc
association	bdAd
church	dDaa
muslim	cDbc
christian	Ddbd
religious	Cdbd
century	Bdba
evolution	dDab
society	dDbb
culture	Adbb
history	ddbB
modern	Cdab
capital	bdaB
establish	bDbb
institution	adbB
social	cDbb
political	adBb
politics	Ddbb
ity	cdac
ities	ddbc
istic	CdB
ism	ddbd
ist	cdad
ists	ADb
ical	dDca
ically	DDc
psych	CdC
ology	cdcC
ological	dDcd
university	bDda
professor	CdD
studies	Ddba
research	Dddb
study	dDdb
science	Ddac
expert	DD
scientist	DdB
[dummy]	Adaa
[dummy]	Adac
[dummy]	Acaa
[dummy]	adaA
[dummy]	aAaa
[dummy]	aBaa
[dummy]	aDab
